#BeginHeader,62,,,,,,,,
#FormatType,NR-500\NORMAL,,,,,,,,
#FormatVersion,R4.00.00,,,,,,,,
タイトル,,,,,,,,,
ユニット番号,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
ユニット種別,NR-500,(1)TH,未設定,未設定,未設定,未設定,未設定,未設定,未設定
,,,,,,,,,
計測モード,ノーマルモード,,,,,,,,
収集開始日時,2022/7/4 10:22,73000,,,,,,,
サンプリング周期,1s,,,,,,,,
データ数,5705,,,,,,,,
保存オプション,標準,,,,,,,,
,,,,,,,,,
ユニット種別共通,,,,,,,,,
ユニット種別名,NR-TH08共通,,,,,,,,
実サンプリング周期,1s,,,,,,,,
計測機能設定,アベレージ回数   未使用,,,,,,,,
AD積分時間,2ms(500Hz),,,,,,,,
ｱﾝﾁｴｲﾘｱｼﾝｸﾞﾌｨﾙﾀ,***,,,,,,,,
断線検出値,***,,,,,,,,
デジタルフィルタ,***,,,,,,,,
その他,バーンアウト値   下限値,,,,,,,,
デジタルフィルタ,***,,,,,,,,
停止予測,***,,,,,,,,
,,,,,,,,,
トリガ条件,,,,,,,,,
マニュアルトリガ,OFF,,,,,,,,
外部トリガ入力,OFF,,,,,,,,
エッジトリガ,OFF,,,,,,,,
エッジトリガ対象ユニット,なし,,,,,,,,
プリトリガ/ポストトリガ,***,,,,,,,,
ポイント数,***,,,,,,,,
,,,,,,,,,
チャンネル条件,,,,,,,,,
チャンネル番号,,(1)TH-CH01,(1)TH-CH02,(1)TH-CH03,,,,,
波形名,,Channel01,Channel02,Channel03,,,,,
入力レンジ,,Pt100,K熱電対,Pt100,,,,,
単位,,ﾟC,ﾟC,ﾟC,,,,,
計測機能,,アベレージ   OFF,アベレージ   OFF,アベレージ   OFF,,,,,
ホールド,,OFF,OFF,OFF,,,,,
エッジトリガ,,未使用,未使用,未使用,,,,,
トリガレベル,,,,,,,,,
ヒステリシス,,,,,,,,,
スムージング,,OFF,OFF,OFF,,,,,
ポイント数,,,,,,,,,
スケーリング,,OFF,OFF,OFF,,,,,
計測値1,,,,,,,,,
計測値2,,,,,,,,,
表示値1,,,,,,,,,
表示値2,,,,,,,,,
カップリング,,,,,,,,,
センサタイプ,,,,,,,,,
ローパスフィルタ,,,,,,,,,
ハイパスフィルタ,,,,,,,,,
感度,,,,,,,,,
基本単位,,,,,,,,,
極性,,,,,,,,,
しきい値電圧,,,,,,,,,
ヒステリシス,,,,,,,,,
パルス分周,,,,,,,,,
,,,,,,,,,
#EndHeader,日時(μs),(1)TH-CH01,(1)TH-CH02,(1)TH-CH03,,,,,
2022/7/4 10:22,73000,-20.66,-17.4,27.46,,,,,
2022/7/4 10:22,73000,-20.64,-17.3,27.48,,,,,
2022/7/4 10:22,73000,-20.64,-17.25,27.5,,,,,
2022/7/4 10:22,73000,-20.64,-17.3,27.9,,,,,
2022/7/4 10:22,73000,-20.64,-17.25,28.88,,,,,
2022/7/4 10:22,73000,-20.64,-17.25,39.32,,,,,
2022/7/4 10:22,73000,-20.64,-17.25,27.4,,,,,
2022/7/4 10:22,73000,-20.64,-17.25,27.46,,,,,
2022/7/4 10:22,73000,-20.64,-17.25,27.2,,,,,
2022/7/4 10:22,73000,-20.66,-17.2,27.24,,,,,
2022/7/4 10:22,73000,-20.64,-17.2,27.24,,,,,
2022/7/4 10:22,73000,-20.64,-17.25,27.24,,,,,
2022/7/4 10:22,73000,-20.64,-17.25,27.2,,,,,
2022/7/4 10:22,73000,-20.64,-17.25,27.18,,,,,
2022/7/4 10:22,73000,-20.64,-17.2,27.16,,,,,
2022/7/4 10:22,73000,-20.64,-17.25,27.14,,,,,
2022/7/4 10:22,73000,-20.64,-17.2,27.14,,,,,
2022/7/4 10:22,73000,-20.6,-17.05,27.82,,,,,
2022/7/4 10:22,73000,-20.6,-17.05,28.86,,,,,
2022/7/4 10:22,73000,-20.64,-17.25,29.7,,,,,
2022/7/4 10:22,73000,-20.64,-17.25,30.22,,,,,
2022/7/4 10:22,73000,-20.58,-17.05,30.68,,,,,
2022/7/4 10:22,73000,-20.58,-17.1,31.1,,,,,
2022/7/4 10:22,73000,-20.56,-17.1,31.4,,,,,
2022/7/4 10:22,73000,-20.56,-17.15,31.64,,,,,
2022/7/4 10:22,73000,-20.56,-17.1,31.8,,,,,
2022/7/4 10:22,73000,-20.54,-17.1,31.92,,,,,
2022/7/4 10:22,73000,-20.54,-17.1,32.02,,,,,
2022/7/4 10:22,73000,-20.54,-17.1,32.08,,,,,
2022/7/4 10:22,73000,-20.52,-17.15,32.14,,,,,
2022/7/4 10:22,73000,-20.54,-17.15,32.16,,,,,
2022/7/4 10:22,73000,-20.54,-17.15,32.18,,,,,
2022/7/4 10:22,73000,-20.54,-17.15,32.2,,,,,
2022/7/4 10:22,73000,-20.54,-17.15,32.2,,,,,
2022/7/4 10:22,73000,-20.54,-17.15,32.22,,,,,
2022/7/4 10:22,73000,-20.54,-17.15,32.22,,,,,
2022/7/4 10:22,73000,-20.54,-17.15,32.22,,,,,
2022/7/4 10:22,73000,-20.56,-17.15,32.22,,,,,
2022/7/4 10:22,73000,-20.56,-17.15,32.24,,,,,
2022/7/4 10:22,73000,-20.56,-17.15,32.24,,,,,
2022/7/4 10:22,73000,-20.56,-17.15,32.24,,,,,
2022/7/4 10:22,73000,-20.56,-17.05,32.24,,,,,
2022/7/4 10:22,73000,-20.54,-17.05,32.24,,,,,
2022/7/4 10:22,73000,-20.54,-17.05,32.24,,,,,
2022/7/4 10:22,73000,-20.54,-17,32.24,,,,,
2022/7/4 10:22,73000,-20.54,-17,32.24,,,,,
2022/7/4 10:22,73000,-20.52,-17,32.26,,,,,
2022/7/4 10:22,73000,-20.52,-16.95,32.26,,,,,
2022/7/4 10:22,73000,-20.52,-16.95,32.26,,,,,
2022/7/4 10:22,73000,-20.52,-16.95,32.26,,,,,
2022/7/4 10:22,73000,-20.52,-16.9,32.28,,,,,
2022/7/4 10:23,73000,-20.52,-16.9,32.26,,,,,
2022/7/4 10:23,73000,-20.52,-16.95,32.28,,,,,
2022/7/4 10:23,73000,-20.52,-16.95,32.26,,,,,
2022/7/4 10:23,73000,-20.54,-16.95,32.26,,,,,
2022/7/4 10:23,73000,-20.58,-17.05,32.18,,,,,
